Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0626,-1,-1,0.62825833,0.0037,0.0314,0.0085,0.0013,-1,0.0818,0.0328,-1,0.0055,0.0066,1.832,-1,0.1098,0.004,0.0064,0.0089
0.0724,0.001,-1,0.66473611,-1,0.0334,-1,5e-4,-1,0.0558,0.043,-1,0.0034,0.0055,1.4611,-1,0.089,-1,0.0043,0.0093
0.0764,4e-4,0.014,-1,-1,0.0329,0.0029,-1,-1,0.0962,0.0353,-1,0.0033,0.0058,0.8731,-1,0.1188,0.004,0.0034,0.0117
0.0725,7e-4,0.0294,0.83719306,0.0044,0.0397,0.0048,-1,-1,0.0794,0.0369,-1,-1,-1,0.9698,-1,0.1305,0.0042,0.0026,0.0138
0.0569,-1,0.0078,-1,-1,0.0372,0.0739,9e-4,-1,-1,-1,-1,0.0026,0.0061,-1,-1,0.0858,-1,-1,-1
-1,-1,0.0124,-1,3e-4,-1,-1,-1,-1,-1,-1,-1,0.0024,-1,-1,-1,-1,-1,0.0023,-1
0.0491,0.001,-1,-1,-1,0.0375,0.0025,-1,-1,-1,-1,0.0013,-1,-1,0.7239,-1,0.0694,-1,-1,0.014
0.0448,-1,-1,-1,0.0014,-1,-1,-1,-1,-1,-1,0.0012,0.0064,-1,1.1012,0.0015,0.0592,-1,0.006,0.0083
-1,-1,-1,1.07658681,0.0035,-1,0.0055,-1,0.0055,-1,0.0375,-1,0.0057,0.0103,2.0111,9e-4,-1,0.0031,0.007,0.0142
-1,-1,-1,1.10308681,-1,-1,0.0058,-1,0.0067,0.1617,0.0392,-1,0.0042,0.0084,1.3331,-1,-1,0.0031,0.004,0.0204
0.0568,-1,0.0075,-1,0.0025,-1,0.0046,5e-4,-1,-1,-1,-1,0.006,-1,-1,-1,-1,-1,0.0038,-1
-1,-1,0.0083,-1,0.002,-1,-1,-1,-1,-1,-1,-1,0.0047,-1,0.9094,-1,-1,-1,0.0036,-1
0.0475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0021,0.0065,-1,-1,0.0687,-1,0.0021,0.0112
-1,-1,0.0186,-1,5e-4,0.0404,0.0055,-1,-1,-1,-1,-1,0.0085,-1,-1,-1,0.084,-1,0.0049,0.025
-1,-1,-1,0.66169931,0.0027,0.0434,0.0043,6e-4,-1,-1,0.0407,-1,0.0059,0.0057,0.9947,-1,0.0692,-1,0.0059,0.0123
0.0492,-1,-1,0.87072049,0.0019,0.0526,0.0049,-1,0.0063,0.0853,0.0529,0.0024,0.0117,0.0071,1.0486,-1,0.0966,0.0038,0.0112,0.0218
0.0795,0.0022,-1,0.82110417,-1,0.0445,0.0059,5e-4,0.0036,0.0838,0.0583,0.002,0.0082,0.0077,0.8937,-1,0.1369,0.0036,0.0069,0.0167
0.0431,8e-4,0.0099,0.74609201,0.0025,0.0356,0.0073,0.0014,0.0058,0.0583,0.0343,-1,0.0035,0.0071,-1,-1,0.0992,-1,0.0026,0.0148
-1,0.0011,0.0095,-1,-1,-1,0.0052,-1,0.0034,-1,0.0404,7e-4,0.002,-1,-1,-1,0.066,0.0049,-1,-1
0.0571,-1,0.0093,-1,9e-4,0.0283,-1,-1,-1,0.0683,0.0409,-1,0.0058,-1,-1,-1,0.0724,0.0047,0.0056,0.01
0.0766,0.0019,0.0159,0.65255382,0.0013,0.032,-1,-1,0.0061,0.0622,0.0436,8e-4,-1,0.0065,0.8059,-1,0.0967,0.0038,0.0024,-1
0.1201,0.0024,0.0183,0.65718403,0.0023,0.0675,0.0046,-1,-1,0.11,0.0819,-1,0.0021,0.0063,2.1292,-1,0.1951,0.0079,0.0042,0.0183
