Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0194,4e-4,0.0062,0.64273958,0.0034,0.0198,0.0062,0,0.0041,-1,0.0399,0,0.0083,0.0084,1.0317,0,0.0248,0.001,0.0097,0.0081
0.0692,0.0016,0.0292,1.48851736,0.0043,0.0253,0.0024,9e-4,0.0092,-1,-1,0,0.006,0.0087,3.0829,0,0.034,0.0035,0.0071,0.0228
0.0423,-1,0.0038,0.77719479,-1,0.0233,0.0018,2e-4,0.0017,0.0543,0.037,0,5e-4,0.0094,1.2519,0.0025,0.0457,0.0029,0.0024,0.0112
0.0866,0.001,0.0135,0.87285208,0.0029,0.0384,0.0057,7e-4,0.0071,0.1163,0.0517,0,0.0104,0.0129,1.7453,0,0.1153,0.0062,0.0167,0.0234
0.0336,0,0.0014,1.40349306,0,-1,0.0024,9e-4,0.0025,0.0501,0.0264,0.0013,0.0061,-1,1.5681,0,0.0175,0.0023,-1,0.0118
0.0313,7e-4,0,0.31366528,-1,0.0141,0.0015,2e-4,0.0051,0.0542,-1,0,0.001,0.0032,0.7885,0,0.0696,9e-4,0.0025,0.0089
0.0507,0,0.0402,-1,0,0.0228,-1,3e-4,0.0028,0.0488,0.0327,9e-4,0.0029,0.0084,0.8849,0,0.0662,0.003,0.0026,0.0093
0.0768,0,0.0281,0.38024612,0.0025,-1,0.0119,0.0011,0.0038,0.0796,0.0463,0,0.0053,0.0069,0.6367,0,0.1589,0.0055,0.0039,0.0169
0.072,0.0026,0.0207,0.95056562,0.0031,0.0636,0.016,1e-4,0.0038,0.1515,0.0845,0.0047,0.0122,0.0159,1.8481,0,0.1378,0.0047,0.0146,0.0324
-1,0,0.0053,1.23032465,0,0.0356,0.0043,5e-4,0.0014,0.0823,0.064,0,0.0059,0.0067,1.4611,0,0.0844,0.0043,0.0083,0.0211
0.0442,0.0015,0.0211,1.25727951,0.0019,0.0286,0.0071,2e-4,0.0027,0.0795,0.0669,0,0.006,-1,1.7755,0,0.0509,0.0023,0.0107,0.0177
0.0467,0.0013,0.0057,0.85592361,0.0012,0.0259,0.0031,0,-1,0.049,0.0499,0,0.0037,0.0089,1.8636,7e-4,0.053900000000000003,0.0018,0.0078,0.0098
0.0302,5e-4,0.0111,0.64588056,1e-4,0.0196,0.0017,7e-4,0.0045,-1,0.0299,0,0.0035,0.008,-1,0,0.034,9e-4,0.0028,0.0077
0.0408,0.0014,0.0165,0.34221389,0.0029,0.0314,0.0021,4e-4,5e-4,-1,0.0422,3e-4,0.0016,0.0104,0.661,0.0014,0.0839,0.0029,0.0022,0.0106
-1,0.001,0.0098,0.43532083,0.0028,0.0289,0.0029,2e-4,0.0013,0.0523,0.0339,3e-4,0.0036,0.0035,0.9848,0,0.0799,0.0014,0.0047,0.0101
0.0352,-1,0,0.80775625,2e-4,-1,0.0061,0.0016,-1,0.057,0.0325,3e-4,0.0033,-1,1.4003,0,-1,0.0027,0.0054,0.0124
0.0355,0,0.0025,0.60460069,4e-4,-1,0.0087,1e-4,0.0027,0.0664,0.0434,0.0015,0.0086,0.0034,1.0061,0,0.1632,0.0036,0.0068,0.034
0.0452,0.0019,0.0111,0.64086979,-1,0.0265,0.0028,0.0011,0.0033,0.0431,0.0352,0.0023,0.0033,0.003,1.0418,0,0.0457,0.0018,-1,0.0097
0.0486,9e-4,0.0062,0.5508559,0.0043,0.0269,0.0048,7e-4,0.0017,0.041,0.0415,0,0.0043,0.0067,2.1757,0,-1,0.0032,0.0045,0.0105
0.0472,0,0.0292,0.33249618,0,0.0315,0.0018,0.0016,7e-4,0.032,-1,0,-1,0.0106,0.9105,0,0.0474,0.0027,4e-4,0.0056
0.0705,0,0.0148,-1,0.0019,0.0443,0.0025,8e-4,0,0.0643,-1,3e-4,0.0037,0.0078,0.9615,0,0.1879,0.0022,0.0031,0.0249
0.0835,0.0018,0.006,-1,2e-4,0.0391,-1,7e-4,0.0021,0.085,0.0586,1e-4,0.0071,0.0083,1.8397,0.0034,0.1061,0.0048,0.0045,0.0146
0.0462,0,0.0041,0.55529479,0.0014,0.0415,0.0058,8e-4,0.0037,0.0557,-1,0,0.0043,0.0131,0.7839,0.0016,0.0621,0.0031,0.0051,0.0135
0.05,-1,0,0.37486944,0.0049,0.0398,0.0082,1e-4,0.0031,0.0802,0.0478,0.0019,0.0041,0.0083,0.6725,0,0.0846,0.0035,0.0036,0.0103
0.0631,0,0.0027,0.81682639,0.0074,0.0358,0.0182,0.0012,0.0047,0.1057,0.0578,0.0015,0.0097,0.0112,1.2217,0,0.2003,0.0057,0.0103,0.0286
0.0507,0.002,0.0239,1.31405312,0,0.0272,0.0067,7e-4,-1,0.1037,0.0602,7e-4,0.0134,0.0086,1.8846,0,-1,0.0045,0.0139,0.0151
0.0454,8e-4,0.0105,1.74145312,0.0016,0.0349,0.0069,0,0.0076,0.0974,-1,3e-4,0.0084,0.0038,1.4417,0,0.0672,0.0035,0.0095,0.0208
0.0742,0.0022,0,1.15235069,8e-4,0.0497,0.0041,2e-4,0.0023,0.0915,0.0499,0.0047,0.0065,0.0057,2.5606,0,0.0892,0.0034,0.0085,0.0157
0.0597,0,0.0054,0.39703993,-1,0.0311,0.0074,0,8e-4,0.0573,0.0354,0,0.004,0.0016,0.617,0,0.0932,0.0024,0.0031,0.0042
-1,4e-4,0.0084,0.78310278,-1,0.042,-1,5e-4,0.0059,0.0707,0.0313,7e-4,0.0035,0.0057,0.6606,0,0.0764,0.0022,0.0045,0.0111
0.0502,0.001,0.0169,0.85177326,-1,0.0214,0.0054,0.0011,0.0045,-1,0.0453,8e-4,-1,0.008,1.8414,0,0.0468,0.0028,0.0065,0.0142
0.0492,0,0.0119,1.43387222,5e-4,0.0262,0.0081,0,0.0058,0.0858,0.0453,0,0.0116,-1,1.4037,0,0.0424,0.0023,0.0089,0.0124
0.0498,9e-4,0.0165,0.37809931,0,0.0259,0.0072,4e-4,0.0048,0.0729,0.0316,0,0.0052,0.0042,1.2194,0,0.0738,-1,-1,0.0238
0.0293,9e-4,0,0.74459896,0,0.0217,0.0033,4e-4,6e-4,0.0604,0.0258,0,0.0025,-1,1.4539,0.0012,0.0582,0.0031,0.0031,0.0087
0.0626,0,0.0042,0.62825833,0.0037,0.0314,0.0085,-1,0.0019,0.0818,0.0328,-1,0.0055,0.0066,1.832,-1,0.1098,0.004,0.0064,0.0089
0.0724,0.001,0.0054,0.66473611,0,-1,0.0019,5e-4,-1,0.0558,0.043,0,-1,-1,1.4611,0,0.089,0.0024,0.0043,0.0093
0.0764,4e-4,0.014,0.42253889,0,0.0329,0.0029,4e-4,3e-4,0.0962,0.0353,-1,0.0033,0.0058,0.8731,0,0.1188,0.004,0.0034,0.0117
-1,7e-4,0.0294,0.83719306,-1,0.0397,0.0048,3e-4,-1,0.0794,0.0369,-1,-1,-1,0.9698,0,0.1305,0.0042,0.0026,0.0138
0.0569,0,0.0078,-1,0,0.0372,0.0739,-1,8e-4,0.0386,0.0276,0,0.0026,0.0061,0.4948,-1,0.0858,0.0028,0.0018,0.0063
0.0183,0,0.0124,-1,3e-4,0.0095,1e-4,4e-4,0.0025,0.0185,0.0155,0,-1,0.0017,0.6683,0,0.0147,0.0014,0.0023,0.007
0.0491,0.001,0.0014,0.24470986,0,0.0375,0.0025,1e-4,0.0017,-1,0.0251,-1,0.001,0.0027,0.7239,0,0.0694,0.0021,0.0012,0.014
0.0448,-1,0,0.3784059,0.0014,0.0248,0.0012,3e-4,0,0.0519,0.0306,0.0012,0.0064,-1,1.1012,0.0015,0.0592,-1,-1,-1
0.0315,-1,0,1.07658681,0.0035,0.0259,0.0055,0,0.0055,0.0533,0.0375,-1,0.0057,0.0103,2.0111,9e-4,-1,0.0031,0.007,0.0142
0.0355,0,0,1.10308681,2e-4,0.0261,0.0058,0,0.0067,0.1617,0.0392,0,0.0042,0.0084,1.3331,0,0.0489,0.0031,0.004,0.0204
0.0568,0,0.0075,0.55511736,0.0025,0.0249,0.0046,5e-4,0.0027,0.0398,0.0269,0,-1,0.0026,0.7027,0,0.0538,0.0014,0.0038,0.0049
0.0302,0,0.0083,-1,0.002,0.0156,9e-4,4e-4,0.0027,0.0266,-1,0,0.0047,0.0043,0.9094,0,0.0312,0.0014,0.0036,0.0052
-1,3e-4,0,0.24110254,0,0.0245,0.0016,2e-4,-1,-1,0.0268,0,0.0021,0.0065,0.5788,0,0.0687,-1,0.0021,0.0112
0.0412,0,0.0186,0.41931736,-1,0.0404,0.0055,0,0.0024,0.0494,0.0279,0,0.0085,0.0044,0.6488,0,0.084,0.0024,-1,0.025
0.0283,0,0.0011,0.66169931,0.0027,0.0434,0.0043,6e-4,-1,0.0428,0.0407,0,-1,0.0057,0.9947,0,0.0692,0.0022,0.0059,0.0123
